Experiment,BERTScore Precision,BERTScore Recall,BERTScore F1,ROUGE-1,ROUGE-2,ROUGE-L,Semantic Similarity
baseline_rag,0.9465124607086182,0.9490388631820679,0.9474285244941711,0.7241636775618616,0.16572630384297418,0.7191596990362638,0.7959082722663879
used google/flan-t5-small for to retrieved docs chunks summary,0.9405132532119751,0.9380725622177124,0.9388937950134277,0.6529567015083637,0.12691925623550845,0.6508720714955831,0.7480106353759766
used google/flan-t5-base for to retrieved docs chunks summary,0.9419320225715637,0.9383277893066406,0.9397187232971191,0.6486569648710809,0.13336240241259673,0.6460947635308177,0.7485861778259277
used google/flan-t5-large for to retrieved docs chunks summary,0.9393340945243835,0.9336973428726196,0.9360300302505493,0.6258770775647046,0.11661376966820024,0.6231790471319081,0.7120236158370972
