Experiment,Total Questions,Exact Match (%),Partial Match (%),Mean F1,Median F1,Std F1
baseline_rag,918,58.27886710239652,71.89542483660131,0.7039703854440152,1.0,0.39938431180957973
used google/flan-t5-small for to retrieved docs chunks summary,918,55.33769063180828,67.97385620915033,0.6400874506899806,1.0,0.43956505831761133
used google/flan-t5-base for to retrieved docs chunks summary,918,53.70370370370371,67.21132897603485,0.6331300447797503,1.0,0.4397235761017015
used google/flan-t5-large for to retrieved docs chunks summary,918,52.8322440087146,64.81481481481481,0.6139649641557898,1.0,0.44910373528449643
